,text,label
39,아가리로는 협의를 외치지만 몸으로는 제왕적 대통령을 실천중이신 ㅋㅋㅋ 그저 치매노인 씹재앙!,0
40,이게 전부 대가리 깨져도 민주당찍는 40프로덕분에 가능한 일임 민주당이랑 문재앙은 지금까지 그래왔듯 저 부동의 40프로만 지키면 되니까 일부러 세게 나오는거,0
41,어떻게 항문이 국가 대장ㅋㅋㅋ,0
42,감옥보내서 버르장머리를 고쳐놓아야한다,0
43,반나절도안가서말바꾸노 역시통수하면 재앙인가 - dc App,0
44,인수위 이렇게 훼방놓는 정권은 대단하다 끝나면 어떻게 쳐맞을려구,0
45,"경상도가 해냈다!!윤석열의 제2차 신공산주의 시대 개막!!!!보수들 울면서 개같이 찬양!!!디씨의 약랄한 ip차단에 의해 글도 못쓰는 전쟁 냉전 공산주의 시대 개막!!인생은 쓰레기같이 사는자가 승리하는법!!하루만에 댓글삭제 디씨!!현재 경제대국10위!!대깨문,대깨윤!!경제대국5위가나요~!!3월안에특검무조건하는윤총장!!!",1
46,문럼프 ㅋㅋㅋㅋㅋㅋㅋ,0
47,끝까지 개꼬장 장애인새끼 ㅋㅋㅋ,1
48,"문재앙 역대급 정권, 어제 한 말도 내일이면 다름 개병신 짓거리 당당하네",1
49,뷰지식 기싸움,0
50,피싸개식 기싸움,0
51,문재인 재 누가뽑았냐ㅋㅋㅋㅋㅋ,0
52,무능 쇼통 내로남불,0
53,"아이고 해달라는거 안해준다니까
또또 어릴때 습성 나오네
바닥에 막 드러늡구 싶다 그러치?
애구애구 우리 이대남 애기세퀴들아
좋빠가",1
54,문재앙 개병신새끼,1
55,낼모레 퇴임하는 새끼가 임기 4년짜리 기관장 알박기 임명을 하지 않나. 아주 개똥을 싸질러 놓고 뭐? 전임대통령은 수사하지 않겠다는 면죄부를 달라고? 치매 맞네 치매.,1
56,죽을라고 환장을 한거지,0
57,재앙이가 죽을라고 환장했다고 본다,0
58,뭘 회동해 5월20일 되면 그냥 바로 깜빵보내,0
59,재앙이 ㅂㅅ,1
60,5월달에 검찰수사로 조져버리자 ㅋㅋㅋ 504호는 니방이고 옆에 505호는 느그 와이프방이다 - dc App,0
61,"훠훠훠
조센징들의 편안한 안락사 줘한테 맡겨 쥐쉽시요
조센징 전원 박멸 프로줵트 가동중입뉘다
세계의 쓰레기 악의 축 조센징들을 젠부 지옥으로 ww",1
62,끝까지 치졸하고 찌질 - dc App,0
63,역대급이노,0
64,어차피 방 빼야되는데 ㅈㄴ 뻗대네ㅋㅋㅋ 졸렬하다 진짜,1
65,새끼들 감사위원회 2명 임명 하고 싶어서 갖은 수를 다 쓰네 - dc App,1
66,역대급 무능의 아이콘,0
67,대재앙다운ww,0
68,표독스럽고 쪼잔하고 꿍한표정으로 밴댕이 소갈딱지 한녀들마냥 같이 가슴 속에 온통 불만과 질투만 가득한 문재앙 애미죽은새끼 ww,1
69,윤석열도 문제야 용산이전 이걸 굳이 해야해? 이렇게 인수인계 순조롭지 못한 정국 첨본다.,0
70,윤석열과 논의후에 임명을 하던가 임명해놓고 협의한다는건 무슨 말임?그리고 예비비가 문정권 돈도 아닌데 청와대 3개월동안 얼마나 쳐 썼길래 윤석열이 500억 신청한 돈도 안 내놓고 버팀?슬슬 욕쳐먹기 시작하니까 협의가능하다 들을준비되어있다고 한발빼고 ㅈㄹ이네 국민은 안중에 없고 끝까지 쇼질하고 있네,1
71,대체 뭐가 맞는거노? 격노했다가 귀를 기울인다 했다가 ㅋㅋㅋ 그냥 정신분열증 환자 아니노?,0
72,저러고 털보네 쪼르르 찾아갔어,0
73,진짜 전라도는 우리와 같은 나라 같은 국민이 아닌것 같다 - dc App,0
74,조빠가,1
75,재아인진짜ㅋㅋ,0
76,문재앙처럼 진짜 인사 뻔뻔하게 하는놈은 처음봤다 시발 ㅋㅋ 야당이 반대해도 그냥 다 씹고 장관들 임명시키더니 막판엔 낙하산까지 가지가지한다 진짜,1
77,북한식 내로남불 문제인 정권ㅋㅋㅋㅋㅋㅋㅋ,0
78,해줘 해줘 내맘대로 해줘~,0
79,할꺼야 할꺼야 아직 당선인이지만 내맘대로 할꺼야 몰라 몰라 할꺼야,0
80,"재앙이는 진짜 쇼 뻔뻔하게 함. 직접 만나서 보여주기식 쇼 해놓고, 나중에 나몰라라 뒷통수쳐서 당했던 사람만 해도 수두룩함. 김종인 찰스 등등.",0
81,이미 당선이 됐다고 앞으로 지 일할 생각을 해야지 왜 문재인한테 찡찡거리고 있는거야 도대체 뭐하자는 놈이지 저건,0
82,임기말 대통령보다 지지율 씹창난 역대급 당선인 ㅋㅋ 거긴터가안좋아 옮길거야 와이프말이랑 법사말만 듣는 서윗퐁퐁당선인,1
83,여러분 아직 대통령 아닙니다 당선인 입니다,0
84,당선인은 당선인 답게 행동해야합니다,0
85,왜 애들 처럼 찡찡거리죠?,0
86,제발 한국인이면 삼성씁니다 깔깔깔낄낄낄끼루루루루룩호우~,0
87,애플 저돈주고 호구처럼 쓰고싶냐 안드로이드가 답임 GOS 삼성 빼고 안드중에서 골라라,0
88,이게 시총 1등의 위엄?,0
89,삼성 바이럴 ㅋㅋㅋ,0
90,"뭔 소리하는 거임
잘만 쓰고 있다",0
91,잘되는데 머가안된다는거냐,0
92,다음폰은 아이폰사야겠다 - dc App,0
93,어휴 삼엽충들의 해킹공격이노 ㅉㅉ,0
94,갤레기에서 14넘어갈껀데 위 본문에 '음악 안나오길래 폰이 또 문제' 이거 흔한일이냐? 애플로 갈아타고싶은데 저런문제는 뭐농? - dc App,0
95,안되는데 머가잘된다는거냐,0
96,인증서버 하나 터지면 다 영향받는거임? 많이 좆같은데,1
97,삼엽충새끼들 gos 묻으려고 해킹까지하노 ㅉㅉ,0
98,러시아에서 사이버테러했노 ㄷㄷㄷ,0
99,"삼성이 맛이가자 형제를 못저버린.,.. 그저 빛사과",0
100,이때다 하고 팀쿸 똥싸기 시전.. 왜냐구? 그야..재미있슈니깐.,0
101,어쩌라는거냐 난 아이폰 안쓰는데,0
102,"아따 우리 갓한민국은 이제 더 이상 일본인들이 무시 못 하는 선진국이랑께요!
일본은 이제 GDP로 거의 다 따라 잡은 일본과 아시아 투탑 선진국이랑께요!
아무리 느그 조센징들이 좆 지랄을 떨어도 일본인들의 인식 조센징 = 짱깨
이거시 느그 조센징들의 적나라한 현실이노
세계 최악의 미개 바퀴벌레 병신 국가 투톱
조센 짱깨 키타 ww",1
103,카톡인스타만 하는 인싸들은 그런거 모름,0
104,gos는 없잖아 - dc App,0
105,그래서 뭐쓰라고 시발련들아 쌍으로 개지랄하네,1
106,똥꼬충: 앱등이가 말대꾸를??? - dc App,1
107,똥플이 병신짓한건데 갑자기 삼성 끌어와서 욕하는 건 뭔 개논리냐ㅋㅋㅋㅋ 존나 뜬금없는데 이래서 똥플빠 개돼지들이 욕먹는구낰ㅋㅋ,1
108,뭐 시리나 앱스토어 같은게 안된다 이거가 아무영향없나 보네 - dc App,0
109,왠지 윈도우로 아이클라우드 사진들어가니까 어제찍은게 없드라,0
110,ㅋㅋ 좆장애회사 - dc App,1
111,갤럭시 연전연패 중 귀한 1승,0
112,제발 대한민국 사람이면 갤럭시 씁시다 좀,0
113,디씨만 안터지면 된거 아님?,0
114,안사요 갤럭시,0
115,갤럭시 가즈아 - dc App,0
116,잘되는데,0
117,팩트) 일반인은 서버터지는거 신경안쓴다.,0
118,일반인들은 앱스토어 안써서 괜찮은데?,0
119,갤럭시 타이밍이다 ㅋㅋ,0
120,어 그래도 갤럭시는 절대 안사,0
121,이거보고 위대한 중화인민공화국의 오포폰 쓰기로 했다,0
122,삼성 갤럭시에선 상상불가능한 사태네 대충일하는 양키들이라 이런 사단이 나는구나.,0
123,쌍으로 지랄이노 에혀,1
124,다 않쓰는서비흐라 노상관. 하드웨어자체로 사기친 삼엽충보단 나음,0
125,어쩐지 앱스토어 어플 다운이 안되더라,0
126,아이폰 2년 썼는데 저 기능들 한번도 안써봄 ㅋㅋㅋ,0
127,어제 밤에 갑자기 홈팟 시리 맛탱이 가고 음악도 안되고 그랬는데 이거 때문이었나 보네 - dc App,0
128,이래도 앱등이들은 삼엽충이랑 다르게 지랄을 안함 ㅋㅋ 애플같이 좆같이 장사해도 소비자가 납득해주는 회사가 성장을 어켕나하겠음 단체로 정신병걸리게만드는거 ㅋㅋㅋ 삼엽충들은 바로 개지랄나잖아 ㅋㅋ,1
129,이거보고 갤럭시 사야겠다 - dc App,0
130,gos는 없잔아 이거보고 아이폰 사야겠다,0
131,애플페이 되던데? - dc App,0
132,위대한 어머니 러시아의 복수가 시작됐다,0
133,아버지의 나라 미국 ㅋㅋㅋㅋ 삼전 꼬라박으려고하니까 바로 붙잡아주노 ㅋㅋ,0
134,???: 엔비디아도 털고 삼성도 털었는데 애플이야 껌이지 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
135,그래서 카메라 성능 병신에 gos 달렸음?,1
136,샤오미 각이노ㅋㅋㅋㅋㅋ,0
137,이래도애플써? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
138,엽충이가 앱충이 우물에 독을 탓다,0
139,난 아무이상없는데 - dc App,0
140,솔직히 난 어릴떄는 최신폰 비싼거 뭔가 집착이 있었는데 성인 되고 나니까 굳이 고사양폰 필요성을 못느끼겠더라 그래서 싼폰 쓰게 되던데,0
141,잘되는데 개소리노,0
142,응 자고 일어나니깐 멀쩡해 새벽에 폰질만 처하는 앰생들아 ㅋㅋ,0
143,대놓고 애플 견제 바이럴 푸는거봐 ㅋㅋㅋㅋㅋㅋㅋ,0
144,애플이 서버 365일 멈춰도 똥럭시보다 잘나가 ㅋㅋ,0
145,애플은 서버 나가면 노래도 못 듣냐?ㅋㅋㅋ,0
146,"와 기술력으로 딸리니까 해커 고용했노 그래도 SE 3 출시를 막을 순 없다 이거야
정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시 정보) 아이폰 SE 3 3월 25일 출시",0
147,혹시 러시아짓인가 안그래도 바이든이 미국 정부랑 회사 사이버공격 올거라고 대비하라고하던데 - dc App,0
148,팀쿡 서버 삿쥬?,0
149,좆플 사죄의 의미로 아이클라우드 일개월 무상 제공해라,1
150,아이폰은 노래를 듣지못한다구....?! - dc App,0
151,짱이폰수준ㅋㅋ,0
152,또 전처럼 대규모 해킹사건 터진건 아니겠지 ㅋㅋ..,0
153,문과대학은 결혼하려고 가는거엿노? ㅋㅋ - dc App,0
154,사생활 가지고 조롱에 폭행 해놓고 피해자한테 웃고 넘겨야했었다하고 비사교적이라고 떠넘기네??,0
155,그러니까 저게 좆병신들이 얘기하는 군기 잡힌 강한 군대라는거지??,1
156,사형 잘당했구만 뭘,0
157,저시절 군대면 짬좀 있는 간부들은 다 625 참전했겠네 - dc App,0
158,그저 한녀 유리바닥은 언제나 깊이감이 잇구나 싶은데,1
159,저시절 군대진술은 믿을수가있어야지 ㅋㅋ,0
160,사법부 설명이랑 요약이랑 왜 다름?,0
161,좆!같!다!!!,1
162,박정희가 또,0
163,여대약대는 유구한전통이엿누,0
164,ㅅㅂ 나도 약대보내줘,0
165,결국 여자만 개이득 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 과연 독신으로 살았을까?,0
166,기사만보면 너무 내성적이고 소심한거 아니냐,0
167,병사도 상관임?,0
168,저 때 이대면 지금 보다 훨씬 윗급인데 ㅋㅋㅋㅋㅋ 그래도 못 먹고 살았노??,0
169,여윽시 그짝이네 전남나주 정씨 제주 고씨,0
170,분에 못이겨서 사람 쏴죽인 쓰레기 새끼도 잘한거 없는듯?,1
171,"ㅋㅋ총 맞을만했구만
그러게 뭐하러 남의 가정,연애사 처 끼어드노 ㅋㅋ
대들때부터 이상하다 생각햇어야지.븅신들 ㅋㅋ - dc App",0
172,안타까운건 맞는데 이건 지금도 최소 무기징역감 아니냐.. 미국에서도 사형당할듯 - dc App,0
173,나도 약대 보내줘 씨빨련드라 ㅋㅋㅋㅋㅋㅋ,0
174,"저 시절 군대면 요약본도 정상이 아닌거 같고
갑자기 총살한것도 증언하면 ㅈ되니까
하극상 본보기도 할겸 한것 같은데",1
175,한남이 죽었는데 한녀가 이득보네 ㅋㅋㅋㅋ 나중에 퐁퐁남 잘 구했을듯 ㅋㅋㅋ,1
176,판결문 뭐냐 어이가 없네,0
177,좆도 아닌걸로 발끈한 개찐따새끼 사형집행 잘했네 게다가 1960년대에 저정도면 선임들 천사 아님?,1
178,네 다음 살인자,0
179,야븡이들 학창시절 찐다라 감정이입하네 문서가 사실이라는 가정하에 별볼일없는 일 임,0
180,히 - dc App,0
181,아니 ㅋㅋ뭐 쏴죽인거 맞는데 뭐가억울한건데 대체? - dc App,0
182,아 뒤질만 했으니까 뒤졌지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시체팔이 역겹누,0
183,전국 도태찐따존못노예새끼들 드글드글하노..,1
184,저당시 서울 소재의 대학 다니고 이화여대 다니는 여친까지 둔 재원이니까 어디 개깡촌에서 올라온 무식한 놈들 눈에는 얼마나 얄밉게 느껴졌겠냐 ㅋㅋㅋ 사회에서는 눈도 못 마주쳤을거 군대에서 잘 걸렸다 하고 평소에도 얼마나 개지랄을 했을까 상상이 간다,1
185,뒤진놈은 말이 없다고 저 설명도 좆일병새끼 유리하게 썻을텐데도 개병신새끼 같네 ㅋㅋ 반항하다 얼차려 받고 야마돌아서 총쏴죽임ㅋㅋㅋㅋ개병신 폐급새끼 ㅋㅋㅋㅋ,1
186,가해자는 위로받고 피해자가 총살당하는 어처구니 없는 상황,0
187,90년대 군대만 해도 선임이 기분나쁘면 빠따때리고 눈 야렸다고 빠따때리고 80년대에는 가혹행위로 똥 먹기도 시킴. 그로부터 30년전(지금이 90년으로부터 30년뒤다)에 저런 선임이면 시대상으로는 굉장히 관대한거임. 후배가 대드는데 앞에서 뭐라고 안하고 따로 불러서 혼낼려고 하는거 봐라.,0
188,여윾시 디씨답게 쿨찐들 정모하노,0
189,이게 왜 안타까움? - dc App,0
190,"뭐가 안타깝다는거냐 ㅋㅋ 지도 사람을 둘이나 죽였는데, 연애편지 읽었다고 쏴죽여? 미친놈 ㅋㅋ 사회나가서도 ㅂㅅ같은걸로 사람 죽이고 사형 당했을 새끼임 ㅋㅋ",1
191,여기 인간말종들 많네. 자랑이다 새끼들아,1
192,ㅋㅋㅋ 한 성격하는 사람이었네,0
193,그래서 독신으로 살았는지가 젤궁금한데,0
194,국가가 3명을 죽인거다,0
195,"요즘 한남들이 씹게이가 된 이유가 저거네
상남자들은 다죽었노",1
196,세상 살기 쉽다. 내가 당하기 싫으면 남한테도 안하면 된다. 내가 한 일에 내가 책임지면 된다.,0
197,"디시하는애들은 참 이상함
대체 누구한테보여줄라고 그렇게 쿨한척 댓다는걸까 - dc App",0
198,놀린넘이나 쏴죽이고 사형당한놈이나 안타까운 사람은 하나도 없구만,0
199,죽일만 했고 죽을만 했네,0
200,안타깝다 진짜,0
201,선임들이 너무 착하니까 개기다가 총까지 쏘네,0
202,아무리봐도 쌍팔년도도 아니고 60년대인데 선임들 개착한데 ㄹㅇ? 또라이 같은 새끼 한놈 후임으로 들어와서 살해당한건데 안타까운건 총맞은 사람들이지 '안타까운 사형' ㅇㅈㄹ ㅋㅋ,1
203,근본적인건 강제징용의 슬픔이란거지 에휴,0
204,문제인이 죽였네,0
205,감히 편지를 훔쳐봐???? - dc App,0
206,뭐가 안타까운 사형인데?? ㅋㅋㅋㅋ 군대 부조리있었네 ㅇㅈ 남의 사생활 침해했네 ㅇㅈ 근데 이게 계획살인 해도 되는 일이냐?,0
207,요약 좆같이 해놨네 ㅅㅂㅋㅋㅋㅋㅋㅋㅋ 혼자 쳐삐져가지고 상관한테 대들고 쳐맞은게 분하다고 총으로 쏴죽인건데 뭔 ㅋㅋㅋㅋㅋ,1
208,뭐가 안타깝다는거나? 그냥 사회부적응 싸패새끼구만,1
209,괴롭힘의 강도가 지나쳤었는데 이 지랄하니까 총 맞아 뒤지지 - dc App,1
210,잘죽였네 남의 편지는 왜 뜯어봐 병신들이,1
211,문돌이들 까는 글이었네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
212,우와...귀엽네 ㅎ,0
213,투슬리스 그려주셈,0
214,선 ㄹㅇ 깔끔하고 이쁘게쓰노,0
215,고수 - dc App,0
216,인스타 아이디 좀 알려주셈 제발,0
217,매머드왔쪄염 뿌우~,0
218,카봇 느낌나고 커엽네,0
219,개추를 참을수 없는,0
220,움짤 좀 치노,0
221,팩트) 나도 윤석열 뽑았지만 처음부터 왜케 불안한 느낌이 드는건 왜일까.. 쓸데없이 집무실이나 이전한다고 하고 너무 아마추어티가 나서 불안불안함.. 정치성향이 다르더라도 일 하나는 기가막히게 하는 후보 뽑았어야 하는건 아니었을까 하는 생각이 들어서 잠이 안오네 우크라이나도 코메디언출신 아마추어 대통령 뽑았다가 나라 거덜났는데 우리나라도 그렇게 되는건 아닌지 걱정되네,0
222,커엽노,0
223,선 쓰는게 예사롭지가 않노 그림 존나 잘그리네,0
224,커여운 건 못 참아,0
225,박제추 ㅋㅋㅋㅋㅋㅋ 그림 커엽다,0
226,먼 게임임?,0
227,이것도 힛갤가노,0
228,능력자;,0
229,실베가 진짜 오랜만에 괜찮은거 올려주노,0
230,귀여워,0
231,2번 알폰스 엘릭 시바 ㅋㅋㅋㅋㅋㅋ - dc App,0
232,퍼리야짤그려줘,0
233,"퍼리야짤이나 그려라 좆같은거 처그리지말고
후원받고 개떡상할수있는 귀한 재능을 좆같은데 썩히고 있노",1
234,이것도 고로시하노 ㅋㅋㅋㅋ,0
235,귀엽지도않고 눈에 안들어오고 머리에 남지도 않습니다.,0
236,익룡 눈봐 ㅋㅋ,0
237,오 ㅋㅋㅋ,0
238,잘그리네 ㄹㅇ,0
239,게임이름이 뭐야,0
240,딱 입시미술 수준,0
241,꼴리게도 그려줘,0
242,워함마 조아,0
243,글은 커여운데 댓글은 씹창났노 ㅋㅋ - dc App,1
244,날다람쥐 귀엽너,0
245,안아줘요 콘 - dc App,0
246,귀엽당,0
247,시발 이건 또 왜 힛갤까지 박제시켰으면 충분하잖아,1
248,재능도 없네,0
249,이재명갤 신종변이 생겼네 다음은 스텔스이재명갤일듯,0
250,나라가 얼마나 개지랄이 났으면 MBC좌파방송은 그렇다쳐도 일개 공무원들이 구라까지 쳐가며 대통령 말에 항명을 하냐 그것도 국방부가ㅋㅋㅋㅋ직원 대부분이 군대도 안 가는 여초기관이 안보ㅋㅋㅋㅋㅋ,1
251,대통령이 한다고하는데 불가능이 어딧어 국방부 민좆당새끼들아 ㅋㅋ,1
252,이재명 플러스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
253,ㅋㅋㅋ 부동시가 법사님 말씀은 찰떡같이 믿고 추진~~~~,0
254,먀~졌으면 샷다 내려라...ㅋㅋㅋ찢재명 갤러리가 뭐꼬?,0
255,5천억이어도 성인지예산에 비하면 개껌값인데?,0
256,합참이 남태령으로 가면 저 부서들은 합참 건물 쓰는 거 아니냐? ㅋㅋㅋ,0
257,전과플러스ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
258,어떻게 갤 이름이 화천대유 몸통 플러스 갤러리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
259,근데 플러스 갤은 머냐 ㅋㅋ,0
260,어떻게 갤러리이름이 시진핑후장갤러리 ㅋㅋㅋ,0
261,ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ,0
262,솔직히 존나 예산낭비긴함,0
263,시발 갤이름이 찢플러스냐ㅋㅋㅋㅋㅋ 찢빠빨갱이새끼들 발악하는거 존나 커엽누 아무리 발악해도 니네는 안돼 ㅂㅅ들아 아가리 쳐닫고 살아라 - dc App,1
264,MBC는 믿고거름,0
265,개 ㅈ병신 갤러리 시발새기들 - dc App,1
266,왜? 굳이 왜??? 왜 이전해야하는데 왜???? 청와대 개방이랑 제왕적 대통령제 개선이 무슨 상관이 있는데????? 왜??????? 개헌이나 해 씨발,1
267,윤석열 그 한 명 때문에 온 나라가 난리노?,0
268,대주술의시대가 열리는 구나,0
269,이재명 신종변이 갤러리래 ㅋㅋㅋㅋㅋㅋ,0
270,그냥 뉴스만 보면 문제 없어보이는데 지 뇌피셜 존나 싸질러서 나쁜것처럼 해놨노ㅋㅋ,1
271,개재앙 밥값보단 싸네,0
272,근무지원단 육군회관 컨벤션 센터 옮겨도 아무 상관없는 부서 아니냐,0
273,시발 ㅋㅋ전과4범갤러리,1
274,어떻게 갤이름이 전과4범플러스 ㅋㅋㅋㅋㅋ,0
275,"여가부 홈페이지 만드는 데 184억 들었는데
저정도면 가성비 ㅆㅅㅌㅊ 임",0
276,전과플러스ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
277,재명 맥스ㅋㅋ,0
278,응 패배자,0
279,이재명 플러스는 무슨 뜻이냐? 전과 플러스란 뜼이냐?,0
280,전과 4범 플러스 ㅋㅋㅋ,0
281,점쟁이가 이끄는 나라 수준 ㅋㅋ,0
282,전과+ 갤러리 ㅋㅋㅋㅋㅋㅋㅋㅋ,0
283,4+1이란거냐 4+4란거냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌ,0
